hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02617,B02617,2021-01-01T08:39:55.000+08:00,2021-01-01T08:40:33.000+08:00,2021-01-01T08:41:04.000+08:00,2021-01-01T09:06:28.000+08:00,148,36,5.23,1524,18.0,0.0,0.54,1.6,2.75,"",0.0,19.8,N,N,"",N,N
HV0003,B02836,B02836,2021-01-01T08:32:03.000+08:00,2021-01-01T08:33:37.000+08:00,2021-01-01T08:35:37.000+08:00,2021-01-01T09:00:46.000+08:00,256,91,10.59,1509,29.13,0.0,0.87,2.59,0.0,"",0.0,24.89,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:27:25.000+08:00,"",2021-01-01T08:32:35.000+08:00,2021-01-01T08:43:30.000+08:00,37,148,3.155,655,13.62,0.0,0.41,1.21,2.75,"",0.0,8.98,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:45:02.000+08:00,"",2021-01-01T08:48:30.000+08:00,2021-01-01T09:11:53.000+08:00,148,223,9.562,1403,25.1,0.82,0.78,2.3,2.75,"",0.0,22.36,N,N,N,N,N
HV0003,B02764,B02764,2021-01-01T08:16:57.000+08:00,2021-01-01T08:22:36.000+08:00,2021-01-01T08:23:12.000+08:00,2021-01-01T08:30:18.000+08:00,250,213,1.49,426,7.91,0.0,0.24,0.7,0.0,"",0.0,9.68,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:26:48.000+08:00,2021-01-01T08:33:30.000+08:00,2021-01-01T08:33:48.000+08:00,2021-01-01T08:45:38.000+08:00,213,126,3.98,710,17.81,0.0,0.53,1.58,0.0,"",0.0,14.62,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:42:21.000+08:00,2021-01-01T08:49:04.000+08:00,2021-01-01T08:49:30.000+08:00,2021-01-01T09:05:26.000+08:00,126,247,2.7,956,14.7,0.0,0.44,1.3,0.0,"",0.0,15.27,N,N,"",N,N
HV0004,B02800,"",2021-01-01T07:57:45.000+08:00,"",2021-01-01T08:06:06.000+08:00,2021-01-01T08:19:55.000+08:00,168,75,4.08,828,17.95,0.0,0.0,1.27,0.0,"",0.0,0.0,N,N,N,N,N
HV0004,B02800,"",2021-01-01T08:17:47.000+08:00,"",2021-01-01T08:28:06.000+08:00,2021-01-01T08:40:46.000+08:00,151,143,2.45,759,13.95,0.0,0.0,0.99,2.75,"",0.0,0.0,N,N,N,N,N
HV0004,B02800,"",2021-01-01T08:35:15.000+08:00,"",2021-01-01T08:53:48.000+08:00,2021-01-01T09:13:37.000+08:00,116,263,6.09,1189,26.95,0.0,0.0,1.82,2.75,"",0.0,0.0,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:07:39.000+08:00,"",2021-01-01T08:12:34.000+08:00,2021-01-01T08:29:19.000+08:00,232,68,3.886,1005,19.62,0.0,0.59,1.74,2.75,"",0.0,14.82,N,N,N,N,Y
HV0005,B02510,"",2021-01-01T08:31:15.000+08:00,"",2021-01-01T08:33:30.000+08:00,2021-01-01T08:46:06.000+08:00,68,161,2.157,756,10.93,0.0,0.33,0.97,2.75,"",0.0,9.43,N,N,N,N,Y
HV0005,B02510,"",2021-01-01T08:33:56.000+08:00,"",2021-01-01T08:46:19.000+08:00,2021-01-01T08:55:26.000+08:00,168,42,2.019,547,8.9,0.0,0.27,0.79,0.0,"",0.0,6.82,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:54:56.000+08:00,"",2021-01-01T08:59:50.000+08:00,2021-01-01T09:15:15.000+08:00,116,242,6.902,925,19.11,0.0,0.57,1.7,0.0,"",0.0,21.99,N,N,N,N,N
HV0003,B02864,B02864,2021-01-01T08:19:22.000+08:00,2021-01-01T08:21:04.000+08:00,2021-01-01T08:22:22.000+08:00,2021-01-01T08:49:03.000+08:00,256,35,5.24,1601,23.64,0.0,0.71,2.1,0.0,"",0.0,20.06,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:06:36.000+08:00,2021-01-01T08:08:27.000+08:00,2021-01-01T08:08:27.000+08:00,2021-01-01T08:25:17.000+08:00,112,36,3.56,1010,15.68,0.0,0.65,1.4,0.0,"",2.82,13.3,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:25:11.000+08:00,2021-01-01T08:27:10.000+08:00,2021-01-01T08:27:44.000+08:00,2021-01-01T09:02:46.000+08:00,36,247,12.8,2102,38.48,6.12,1.64,3.97,0.0,"",4.7,32.63,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:53:44.000+08:00,2021-01-01T08:55:03.000+08:00,2021-01-01T08:55:23.000+08:00,2021-01-01T09:15:07.000+08:00,233,265,5.91,1184,22.76,20.0,1.28,0.0,0.0,"",0.0,19.42,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:02:41.000+08:00,2021-01-01T08:04:52.000+08:00,2021-01-01T08:05:04.000+08:00,2021-01-01T08:25:52.000+08:00,245,22,9.2,1248,24.83,6.12,0.93,2.75,0.0,"",0.0,21.2,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:34:15.000+08:00,2021-01-01T08:37:00.000+08:00,2021-01-01T08:37:19.000+08:00,2021-01-01T08:50:12.000+08:00,22,227,3.36,773,11.7,0.0,0.35,1.04,0.0,"",0.0,10.79,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:52:01.000+08:00,2021-01-01T08:54:24.000+08:00,2021-01-01T08:56:08.000+08:00,2021-01-01T09:32:49.000+08:00,228,250,21.59,2201,49.78,0.0,1.98,4.97,2.75,"",4.7,42.84,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:35:53.000+08:00,"",2021-01-01T08:40:04.000+08:00,2021-01-01T08:58:03.000+08:00,232,238,7.903,1079,23.31,0.0,0.7,2.07,2.75,"",0.0,17.81,N,N,N,N,N
HV0003,B02877,B02877,2021-01-01T08:28:40.000+08:00,2021-01-01T08:36:20.000+08:00,2021-01-01T08:36:20.000+08:00,2021-01-01T09:14:59.000+08:00,230,186,2.74,2319,10.44,0.0,0.31,0.93,2.75,"",0.0,24.96,N,N,"",N,N
HV0004,B02800,"",2021-01-01T08:21:59.000+08:00,"",2021-01-01T08:28:43.000+08:00,2021-01-01T08:47:00.000+08:00,4,145,5.94,1096,24.95,0.0,0.0,1.77,2.75,"",0.0,15.43,N,N,N,N,N
HV0004,B02800,"",2021-01-01T08:41:48.000+08:00,"",2021-01-01T08:51:39.000+08:00,2021-01-01T09:02:52.000+08:00,145,146,2.53,673,15.95,0.0,0.0,1.13,0.0,"",0.0,8.28,N,N,N,N,N
HV0003,B02889,B02889,2021-01-01T08:13:11.000+08:00,2021-01-01T08:17:21.000+08:00,2021-01-01T08:19:21.000+08:00,2021-01-01T08:46:32.000+08:00,185,116,7.16,1631,28.76,0.0,0.86,2.55,0.0,"",0.0,25.68,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T08:45:25.000+08:00,2021-01-01T08:48:53.000+08:00,2021-01-01T08:50:12.000+08:00,2021-01-01T09:05:42.000+08:00,116,242,6.39,930,20.14,0.0,0.6,1.79,0.0,"",0.0,18.97,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:09:44.000+08:00,"",2021-01-01T08:12:22.000+08:00,2021-01-01T08:22:25.000+08:00,148,79,0.865,603,7.37,0.0,0.22,0.65,2.75,"",0.0,6.01,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:23:59.000+08:00,"",2021-01-01T08:27:03.000+08:00,2021-01-01T08:46:57.000+08:00,4,265,4.223,1194,24.04,20.0,1.32,0.0,0.0,"",1.0,16.98,N,N,N,N,N
HV0003,B02889,B02889,2021-01-01T08:06:57.000+08:00,2021-01-01T08:09:21.000+08:00,2021-01-01T08:10:34.000+08:00,2021-01-01T08:15:31.000+08:00,80,255,1.21,297,7.12,0.0,0.21,0.63,0.0,"",0.0,6.82,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T08:22:18.000+08:00,2021-01-01T08:23:45.000+08:00,2021-01-01T08:23:56.000+08:00,2021-01-01T08:31:22.000+08:00,255,80,1.31,446,7.12,0.0,0.21,0.63,0.0,"",0.0,6.82,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T08:32:34.000+08:00,2021-01-01T08:33:09.000+08:00,2021-01-01T08:33:57.000+08:00,2021-01-01T08:37:31.000+08:00,80,80,0.7,214,7.91,0.0,0.24,0.7,0.0,"",0.0,6.81,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T08:37:33.000+08:00,2021-01-01T08:39:01.000+08:00,2021-01-01T08:41:01.000+08:00,2021-01-01T08:53:33.000+08:00,80,226,3.3,752,16.05,0.0,0.48,1.42,0.0,"",0.0,11.35,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:23:03.000+08:00,"",2021-01-01T08:25:45.000+08:00,2021-01-01T08:35:41.000+08:00,209,137,3.695,596,12.28,0.0,0.0,0.0,2.75,"",0.0,9.1,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:40:43.000+08:00,"",2021-01-01T08:42:23.000+08:00,2021-01-01T09:01:28.000+08:00,4,49,4.744,1145,21.34,0.0,0.64,1.89,2.75,"",0.0,14.86,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:31:19.000+08:00,"",2021-01-01T08:42:26.000+08:00,2021-01-01T09:11:38.000+08:00,71,77,4.392,1752,23.69,0.0,0.71,2.1,0.0,"",0.0,22.06,N,N,N,N,Y
HV0003,B02512,B02512,2021-01-01T07:58:40.000+08:00,2021-01-01T08:04:45.000+08:00,2021-01-01T08:05:32.000+08:00,2021-01-01T08:17:36.000+08:00,35,72,2.03,724,11.12,0.0,0.33,0.99,0.0,"",0.0,13.3,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:43:22.000+08:00,2021-01-01T08:44:55.000+08:00,2021-01-01T08:46:23.000+08:00,2021-01-01T08:52:15.000+08:00,113,148,1.02,352,7.91,0.0,0.24,0.7,2.75,"",0.0,6.09,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:56:37.000+08:00,2021-01-01T08:57:55.000+08:00,2021-01-01T08:59:10.000+08:00,2021-01-01T09:08:09.000+08:00,211,66,2.45,539,11.24,0.0,0.34,1.0,2.75,"",0.0,7.9,N,N,"",N,N
HV0003,B02876,B02876,2021-01-01T08:11:56.000+08:00,2021-01-01T08:12:33.000+08:00,2021-01-01T08:13:51.000+08:00,2021-01-01T08:20:26.000+08:00,17,61,1.59,395,7.91,0.0,0.24,0.7,0.0,"",0.0,11.99,N,N,"",N,N
HV0003,B02876,B02876,2021-01-01T08:32:43.000+08:00,2021-01-01T08:34:01.000+08:00,2021-01-01T08:36:01.000+08:00,2021-01-01T08:56:18.000+08:00,256,13,5.53,1217,23.76,0.0,0.71,2.11,2.75,"",0.0,22.87,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:14:20.000+08:00,2021-01-01T08:15:30.000+08:00,2021-01-01T08:17:32.000+08:00,2021-01-01T08:33:42.000+08:00,90,87,6.0,970,21.41,0.0,0.64,1.9,2.75,"",0.0,17.7,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:44:07.000+08:00,2021-01-01T08:47:02.000+08:00,2021-01-01T08:47:50.000+08:00,2021-01-01T09:03:45.000+08:00,231,141,6.5,955,18.38,0.0,0.55,1.63,2.75,"",0.0,18.12,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:11:55.000+08:00,"",2021-01-01T08:15:03.000+08:00,2021-01-01T08:41:05.000+08:00,48,97,6.881,1562,30.07,0.85,0.93,2.74,2.75,"",0.0,20.71,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:40:38.000+08:00,"",2021-01-01T08:47:09.000+08:00,2021-01-01T09:05:40.000+08:00,97,231,3.447,1111,19.0,0.0,0.57,1.69,2.75,"",0.0,15.04,N,N,N,N,N
